Processing files...
estimator: KNN; dim_reduction: pca; min_score: 0.862; mean_score: 0.903; max_score: 0.946; std_score: 0.028; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.866; mean_score: 0.905; max_score: 0.95; std_score: 0.029; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.867; mean_score: 0.905; max_score: 0.949; std_score: 0.028; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.878; mean_score: 0.909; max_score: 0.953; std_score: 0.028; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.879; mean_score: 0.912; max_score: 0.954; std_score: 0.028; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.88; mean_score: 0.912; max_score: 0.954; std_score: 0.028; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.881; mean_score: 0.912; max_score: 0.955; std_score: 0.025; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.886; mean_score: 0.915; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.886; mean_score: 0.915; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.88; mean_score: 0.912; max_score: 0.955; std_score: 0.025; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.884; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
